标题,房型,房租,房租单位,地址
律师,上海豪值股权投资基金有限公司,上海-卢湾区,0.8-1万/月,07-03
班主任,上海腾科网络技术有限公司,上海,6-8千/月,07-03
资深文案策划,深圳市租电智能科技有限公司,上海-长宁区,6-8千/月,07-03
业务经理/部门主管,上海宇寰国际货运代理有限公司,上海-浦东新区,6-8千/月,07-03
工业品销售工程师,上海坤地机械科技有限公司,上海-闵行区,0.8-4万/月,07-03
变电站监控安装工程师,上海谱盟光电科技有限公司,上海,6-8千/月,07-03
投资顾问（薪资5800+加班费+提成+奖金）,上海引翎者商贸有限公司花木路营业部,上海-浦东新区,0.8-1万/月,07-03
旅游计调,上海东湖国际旅行社,上海-黄浦区,2.5-5千/月,07-03
化学部主任Chemistry director（海归）,上海源力生物技术有限公司,上海-浦东新区,2-2.5万/月,07-03
技术法规专员（日语或英语） PRA Specialist（上海）,花王（中国）,上海-长宁区,,07-03
大区经理,蔻诗弥化妆品（上海）有限公司,上海-虹口区,30-40万/年,07-03
采购员,融合（上海）国际贸易有限公司,上海-闵行区,4.5-6千/月,07-03
活动执行岗,平安好房（上海）电子商务有限公司,上海-浦东新区,,07-03
人事经理,上海立足资产管理有限公司,上海-浦东新区,3-4.5千/月,07-03
投资顾问（薪资过万/无责任底薪/高提/双休/弹性工作）,上海时启信息科技有限公司,上海-浦东新区,1-1.5万/月,07-03
做饭阿姨,上海林江电力成套设备安装有限公司,上海-松江区,2-3千/月,07-03
索菲亚衣柜诚聘人力资源总监,上海宁基家具有限公司,上海-闵行区,1.5-3万/月,07-03
人事助理（稳定月入6000  绩效奖金 高温补贴）,上海翠玉网络科技有限公司,上海-静安区,6-8千/月,07-03
课程顾问助理,上海懿敬文化传播有限公司,上海-青浦区,4.5-6千/月,07-03
天猫店长/运营（3c产品）,上海谷登电气有限公司,上海,0.8-1万/月,07-03
动漫设计师助理+双休食宿（近地铁+应届生）,上海玖瑶信息技术有限公司,上海-徐汇区,4.5-6千/月,07-03
人事助理,上海大众液压技术有限公司,上海-嘉定区,3.5-4千/月,07-03
证券经纪人,招商证券股份有限公司上海世博证券...,上海-浦东新区,3.5-8千/月,07-03
网页设计/IU设计/平面设计,铂锐（上海）汽车科技有限公司,上海-嘉定区,4.5-8千/月,07-03
医学市场经理,上海金蓓高医院投资管理有限公司,上海-徐汇区,30-40万/年,07-03
销售代表,上海好好之旅国际旅行社有限公司,上海-黄浦区,6-8千/月,07-03
搜索引擎工程师,上海煤科信息科技有限公司,上海-徐汇区,1-2.5万/月,07-03
财务主管 人事行政,上海芮诺教育科技有限公司,上海-杨浦区,4-7千/月,07-03
开票员,上海富曦物流有限公司,上海-虹口区,3-4.5千/月,07-03
产品上市沟通策略,上海沿拓文化传播有限公司,上海-闵行区,0.5-1万/月,07-03
Quality Inspector 质检员-AMOT,上海儒博贸易有限公司,上海-嘉定区,6-8千/月,07-03
生产计划,上海正伟印刷有限公司,上海,3-4.5千/月,07-03
公司直聘网约司机 放心大胆来,上海琪辕汽车服务有限公司,上海-浦东新区,1-1.5万/月,07-03
私人银行部财富管理专家,宜信卓越财富投资管理（北京）有限...,上海-黄浦区,1.5-2万/月,07-03
风控产品运营,携程旅行网IT技术区,上海-长宁区,1-1.5万/月,07-03
证券经纪人,万联证券股份有限公司上海浦东新区...,上海-浦东新区,3-4.5千/月,07-03
跟单员,Accessory Sources Association L...,上海,3.5-6千/月,07-03
华东区心血管产品经理,齐鲁制药有限公司,上海,1-1.5万/月,07-03
UI美工设计,美明之辉（上海）网络科技有限公司,上海-浦东新区,6-8千/月,07-03
电话销售（市场部）,上海喜智资产管理有限公司,上海-浦东新区,4.5-6千/月,07-03
教育项目主管（赴美培训项目）,上海花果天育文化发展有限公司,上海-长宁区,0.8-1万/月,07-03
奢侈品公司-行政前台（转岗发展机会大）,北京外企德科人力资源服务上海有限...,上海,4-6千/月,07-03
销售助理,上海华燕房盟网络科技股份有限公司,上海-长宁区,3-7千/月,07-03
安卓Android/苹果IOS开发工程师,上海哈泰网络科技有限公司,上海-宝山区,1-2万/月,07-03
PHP开发工程师,上海惠保数据科技有限公司,上海-浦东新区,0.8-1万/月,07-03
网络工程师,上海悠欧网络工程有限公司,上海-普陀区,6-8千/月,07-03
